date,Equal-weight,Minimum-variance,Mean-variance (tangency)
2020-01-03,0.9954432477751864,0.9965705082157714,0.99374491807343
2020-01-06,0.997656262322283,1.0046567166990912,1.0397360269908307
2020-01-07,0.994230271890677,0.9968514148355626,1.0573541041324315
2020-01-08,0.995369412626822,0.9983422087936427,1.0703672327408864
2020-01-09,0.9996491125174854,1.0018030673267198,1.1079481626256331
2020-01-10,0.9964143814733293,0.9959081823734103,1.0966812522618463
2020-01-13,1.0037386764389102,0.9941720118271752,1.189373119507767
2020-01-14,1.003214511446413,0.9967699459213701,1.212244093147419
2020-01-15,1.0054459745723097,1.0017247346290354,1.2332152945317776
2020-01-16,1.0129329179778928,1.0004874665633834,1.2728843829363627
2020-01-17,1.0174839759090337,0.9957079458149127,1.2883671107046286
2020-01-21,1.0133875867331215,0.9978298515860095,1.2715968680978382
2020-01-22,1.0115345139472405,1.0011234556987816,1.2578854176377745
2020-01-23,1.0111530771278483,0.9958728568687956,1.2943847391818533
2020-01-24,1.0035699659843196,0.9855451423119217,1.2373851981662842
2020-01-27,0.989519301387649,0.9879011976085192,1.253620497664449
2020-01-28,0.9958474182035618,0.9852925051346552,1.3420098870797406
2020-01-29,0.9925556842312048,0.9804097866413445,1.3739541414230914
2020-01-30,0.994094667769931,0.9793354491416872,1.338352595166935
2020-01-31,0.9737299924596184,0.9711109623639561,1.3032760698586838
2020-02-03,0.9776636851655968,0.9709846088119544,1.3301894625277997
2020-02-04,0.9888489973370816,0.9771332857909403,1.3513428871719126
2020-02-05,0.9989126326859394,0.9776135779105573,1.3714945655957866
2020-02-06,1.0018892321544903,0.9879021473487101,1.3753528338517187
2020-02-07,0.9944039628921587,0.9879213488287454,1.4592077399200252
2020-02-10,0.9991299257245472,0.9876138208939118,1.4749907687857386
2020-02-11,1.008718648534019,0.9822235661262295,1.5526621764216202
2020-02-12,1.016363871232609,0.9818103298720531,1.6253194285088153
2020-02-13,1.0150064339659222,0.9789658178031502,1.6531957550008385
2020-02-14,1.0191714159758039,0.9834538438957825,1.6988866599155064
2020-02-18,1.01806197202896,0.9847817933708957,1.7838968751193804
2020-02-19,1.021817068609788,0.9790573474232241,1.8401055953065428
2020-02-20,1.0197671557607106,0.9818389041446727,1.7973117084635242
2020-02-21,1.0128891943802725,0.9907124261759811,1.7933820604112802
2020-02-24,0.9850472388275786,0.9867880806624284,1.7703210629646817
2020-02-25,0.9532142440867177,0.9681516774415765,1.693073961135327
2020-02-26,0.9458587229587998,0.9770953157386265,1.7766075531098777
2020-02-27,0.9025108203203914,0.9438889104353669,1.6583103607703733
2020-02-28,0.8956041456647942,0.9349889674853069,1.8064073934854232
2020-03-02,0.9359942010882013,0.9847102394575491,1.7629024159082756
2020-03-03,0.9175475994727612,0.9710334917784063,1.8145153370308171
2020-03-04,0.953721788117561,1.0086762816223582,1.8759679539845566
2020-03-05,0.9244559840514849,1.0043485221953035,1.8106886871549492
2020-03-06,0.9077511164576676,1.012512831849926,1.6081974736620603
2020-03-09,0.8205061797776767,0.9988906277405553,1.4648731947554263
2020-03-10,0.8576972482186532,1.0263202062628969,1.379385082343307
2020-03-11,0.8144102228076913,1.0186362328552125,1.3826097344904655
2020-03-12,0.735680654117603,0.9547712177185222,1.3233951335917231
2020-03-13,0.8046000354661562,0.9720559845859074,1.2927133750105004
2020-03-16,0.7095448340622021,0.9343834465593261,1.1230772785809437
2020-03-17,0.7565435868586222,0.9707649763193803,1.1962127526043467
2020-03-18,0.7127332903411957,0.9460194588355058,1.1785936364073
2020-03-19,0.7187947787304589,0.9490341303091522,1.2559911167177493
2020-03-20,0.6868774970157352,0.8880856276081338,1.136385474860287
2020-03-23,0.6659427134820435,0.8794131684153257,1.197061578515893
2020-03-24,0.733531707692437,0.8920082593308994,1.335627012159478
2020-03-25,0.7470128966975732,0.8801566867623806,1.2870374789623906
2020-03-26,0.7983764357446893,0.9234945770455968,1.3499655336532106
2020-03-27,0.7719821839903317,0.9048401577215649,1.4931329954303343
2020-03-30,0.7933657760539071,0.9291606613451422,1.6249007594981653
2020-03-31,0.7814368634773666,0.9267875068881211,1.8138310475445711
2020-04-01,0.7451025200385468,0.9249821732721666,1.7367760230249083
2020-04-02,0.773463566559516,0.9441903381845084,1.8098847165631469
2020-04-03,0.7587658521662021,0.9297564482694519,1.7292354443658602
2020-04-06,0.8106653602182284,0.9555117790918196,1.7357232775124656
2020-04-07,0.8113992414534263,0.9482290186920083,1.5051624364622724
2020-04-08,0.8446853281568538,0.9552326749867528,1.5872338999107665
2020-04-09,0.8600499333724411,0.9625646738265669,1.5095970570225419
2020-04-13,0.8466952393418843,0.968928028792258,1.4904749024389263
2020-04-14,0.8645015243889195,1.0021331192719587,1.502348415020641
2020-04-15,0.8376389891381798,0.9876871064358147,1.4226409133553994
2020-04-16,0.8367911929583884,1.0049622510872556,1.5561310133762039
2020-04-17,0.8683946254178483,1.0129088336957703,1.558693132840422
2020-04-20,0.849994797253013,1.0065031098651598,1.5760674927051295
2020-04-21,0.827777346675631,0.9860381049382614,1.5623279090988191
2020-04-22,0.8467711563510313,0.9945075396515464,1.5584113028300595
2020-04-23,0.847473529236519,0.9837966806847231,1.604797670403737
2020-04-24,0.8537164306573147,0.993749177463613,1.6539229913872446
2020-04-27,0.8710714187719578,1.000245310534011,1.628336294833628
2020-04-28,0.8707688987886065,0.9919185929021695,1.5227966194782934
2020-04-29,0.8890448751956856,0.9858162171407433,1.5078798937671112
2020-04-30,0.8756059865048831,0.9728511398597066,1.5051943966324335
2020-05-01,0.8496899568832584,0.9698580327552615,1.501755317189314
2020-05-04,0.8518212780861132,0.9687827113079703,1.528890807072829
2020-05-05,0.8571615184578196,0.9831583344952795,1.5774068270682122
2020-05-06,0.8435827566768003,0.9715911588064651,1.4762428203163156
2020-05-07,0.8574917998468775,0.9708759255983374,1.562383330196907
2020-05-08,0.8773749352803275,0.9803426582854844,1.6704696715477279
2020-05-11,0.8741046472697176,0.9849621655400584,1.7750347243696556
2020-05-12,0.8553272044812292,0.9759733127444666,1.772367957043156
2020-05-13,0.8375464085152768,0.9724541540387484,1.7192980914674425
2020-05-14,0.849456132322453,0.9751214271839025,1.7323081565641099
2020-05-15,0.8487558094158995,0.9857814795597215,1.7938561996742768
2020-05-18,0.8871032974965196,0.9973279605734925,1.8282238658199603
2020-05-19,0.8737038088393122,0.995702530406026,1.8894345847773433
2020-05-20,0.88978818384768,0.9948222235051003,1.8948007353061929
2020-05-21,0.880774184333814,0.9885756070239653,1.8079588580466475
2020-05-22,0.8848840507230904,0.9859236955511693,1.7551079452629728
2020-05-26,0.9001306615506379,0.9824434880422707,1.6422517751160919
2020-05-27,0.9172000122275492,0.9875557036342482,1.6677287652607944
2020-05-28,0.9146146958075773,0.9936473424104071,1.623738103694557
2020-05-29,0.9175719691101013,1.0041390071491547,1.612956083624725
2020-06-01,0.9238733130035097,0.9987209771012038,1.6372845450901699
2020-06-02,0.933919896365752,0.9932097229804174,1.676815896902457
2020-06-03,0.9493262430973116,0.9933218751190452,1.6244022191484555
2020-06-04,0.9503894071670217,0.9933859806170434,1.6557712823131254
